No.	大分類	中分類	設計項目	設定値（記入欄）	設計内容・記入基準	対象／適用範囲	確認方法	重要度	確認状況	備考
1	01. 全体設計	Organization基本情報	Organization名／識別名		社内で利用するOrganizationの識別名を記入する。	Organization全体	管理画面または管理台帳で確認	必須	未確認	
2	01. 全体設計	Organization基本情報	Organization ID		AWSが発行するOrganization IDを構築後に記入する。	Organization全体	AWS Organizations画面で確認	必須	未確認	
3	01. 全体設計	Organization基本情報	機能セット		ALL FEATURESまたはCONSOLIDATED BILLINGの採用値を記入する。	Organization全体	AWS Organizations設定画面で確認	必須	未確認	
4	01. 全体設計	管理方針	管理アカウント用途		管理アカウントで実施する業務と、配置を禁止する業務リソースを定義する。	Management Account	管理アカウント内のリソース一覧を確認	必須	未確認	
5	01. 全体設計	管理方針	ホームリージョン		組織管理・セキュリティ集約の主リージョンを記入する。	Organization全体	各サービスの設定画面で確認	必須	未確認	
6	01. 全体設計	管理方針	利用許可リージョン		利用を許可するリージョンを列挙する。	全メンバーアカウント	許可／禁止リージョンで操作試験	必須	未確認	
7	01. 全体設計	管理方針	利用禁止リージョン		利用を禁止するリージョンを列挙する。	全メンバーアカウント	禁止リージョンで操作拒否を確認	必須	未確認	
8	01. 全体設計	管理方針	グローバルサービス例外		IAM、Route 53、CloudFront等、リージョン制限から除外するサービスを定義する。	全メンバーアカウント	対象サービスの正常操作を確認	必須	未確認	
9	01. 全体設計	命名規則	OU命名規則		OU名の形式、英数字・記号・大文字小文字のルールを記入する。	全OU	OU一覧と設計書を照合	必須	未確認	
10	01. 全体設計	命名規則	アカウント命名規則		システム名、環境名、用途を含む命名規則を記入する。	全アカウント	アカウント一覧と設計書を照合	必須	未確認	
11	01. 全体設計	タグ方針	アカウントタグ		Owner、CostCenter、Environment、System等の必須タグを定義する。	全メンバーアカウント	アカウントタグを確認	必須	未確認	
12	01. 全体設計	責任分界	組織管理責任者		Organizations、OU、SCP、アカウント移動の管理責任者を記入する。	Organization全体	運用体制表で確認	必須	未確認	
13	01. 全体設計	責任分界	セキュリティ管理責任者		集中セキュリティサービスとインシデント対応の責任者を記入する。	Organization全体	運用体制表で確認	必須	未確認	
14	01. 全体設計	責任分界	費用管理責任者		請求、予算、コスト配賦、異常費用対応の責任者を記入する。	Organization全体	運用体制表で確認	必須	未確認	
15	02. OU設計	OUパラメータ	OU名		OUの正式名称を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
16	02. OU設計	OUパラメータ	OU ID		AWSが発行するOU IDを構築後に記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
17	02. OU設計	OUパラメータ	親OU		Rootまたは上位OU名を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
18	02. OU設計	OUパラメータ	用途		当該OUに収容するアカウントの用途・分類基準を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
19	02. OU設計	OUパラメータ	収容対象アカウント		収容するアカウント名またはアカウント種別を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
20	02. OU設計	OUパラメータ	適用SCP		当該OUへ適用するSCP名を列挙する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
21	02. OU設計	OUパラメータ	適用Tag Policy		当該OUへ適用するTag Policy名を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
22	02. OU設計	OUパラメータ	適用Backup Policy		当該OUへ適用するBackup Policy名を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
23	02. OU設計	OUパラメータ	管理担当		OU配下のアカウント管理責任者を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
24	02. OU設計	OUパラメータ	アカウント移動条件		他OUから当該OUへ移動する条件を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
25	02. OU設計	OUパラメータ	アカウント退出条件		当該OUから他OUへ移動する条件を記入する。	OUごと	OU一覧・有効ポリシーを確認	必須	未確認	
26	03. アカウント設計	アカウントパラメータ	アカウント名		AWSアカウントの正式名称を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
27	03. アカウント設計	アカウントパラメータ	Account ID		AWSが発行する12桁のAccount IDを構築後に記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
28	03. アカウント設計	アカウントパラメータ	Root Email		Rootユーザーに使用する一意のメールアドレスを記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
29	03. アカウント設計	アカウントパラメータ	所属OU		アカウントを配置するOU名を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
30	03. アカウント設計	アカウントパラメータ	アカウント用途		Management、Security、Log Archive、Network、Workload等の用途を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
31	03. アカウント設計	アカウントパラメータ	環境区分		Production、Staging、Development、Sandbox等を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
32	03. アカウント設計	アカウントパラメータ	システム名		当該アカウントで管理するシステム名を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
33	03. アカウント設計	アカウントパラメータ	業務Owner		業務上の責任部門・責任者を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
34	03. アカウント設計	アカウントパラメータ	技術Owner		技術運用の責任部門・責任者を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
35	03. アカウント設計	アカウントパラメータ	セキュリティ連絡先		セキュリティ通知先を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
36	03. アカウント設計	アカウントパラメータ	請求連絡先		請求・費用通知先を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
37	03. アカウント設計	アカウントパラメータ	許可リージョン		当該アカウントで利用可能なリージョンを記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
38	03. アカウント設計	アカウントパラメータ	主要利用サービス		利用予定の主要AWSサービスを列挙する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
39	03. アカウント設計	アカウントパラメータ	インターネット接続可否		直接インターネット接続の可否・条件を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
40	03. アカウント設計	アカウントパラメータ	外部共有可否		組織外アカウントや外部主体への共有可否を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
41	03. アカウント設計	アカウントパラメータ	データ区分		Public、Internal、Confidential等のデータ分類を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
42	03. アカウント設計	アカウントパラメータ	予算上限		月次または年次の予算額・管理単位を記入する。	アカウントごと	AWS Organizations／Account画面と照合	必須	未確認	
