連番	セクション	原票No./ID	区分	設計対象	設計項目	設定値／内容	設計目的・根拠	配置／適用対象	Terraform管理単位	Terraform Resource／方式	テスト／確認方法	確認状況	備考	詳細内容
1	00_利用ガイド	1	資料目的			AWS Organizationsを利用したマルチアカウント環境の詳細設計・Terraform構築パラメータを一元管理する。							基本設計から構築・テストへトレース可能な粒度を想定。	記入ルール：黄色セル相当の未確定値をプロジェクト実績値へ置換する。
2	00_利用ガイド	2	ステータス			未着手／検討中／確定／対象外							確定前の値をそのままapplyしない。	記入ルール：各シートの「確認状況」を選択する。
3	00_利用ガイド	3	実績値			Account ID、OU ID、Organization ID、ARN、メールアドレス等							仮値を本番設計書に残さない。	記入ルール：AWS側で生成された値は構築後に実績値として更新する。
4	00_利用ガイド	4	Terraform管理			Root Module、State、Provider、Moduleの責任境界を記録する。							一つのStateにOrganization全体を集約しない。	記入ルール：Stateは権限境界・変更周期・障害影響範囲で分割する。
5	00_利用ガイド	5	既存リソース			Console等で作成済みのOrganization、OU、Account、Policy							plan差分が想定内になるまでapplyしない。	記入ルール：新規作成せず、import blockまたはterraform importでStateへ取り込む。
6	00_利用ガイド	6	SCP適用			拒否系ポリシー							Rootへの一括適用は最終段階。	記入ルール：Test Account → Sandbox/NonProd → Prodの順で段階適用する。
7	00_利用ガイド	7	認証情報			Terraform実行認証							Backend認証情報も環境変数等で供給。	記入ルール：IAM Userの長期Access Keyをコードへ記載せず、SSO/OIDC/AssumeRoleを使用する。
8	00_利用ガイド	8	変更管理			設計変更・コード変更・実績反映							GitのPR番号やチケット番号を備考へ記録。	記入ルール：設計書、コード、plan、承認、apply結果を同一変更番号で管理する。
9	01_全体設計	1	Organizations		機能セット	ALL	SCP、組織連携、委任管理を利用するため。		10-organization	aws_organizations_organization.feature_set		確定		
10	01_全体設計	2	Organizations		Organization ID	構築後記入：o-xxxxxxxxxx	Resource PolicyやS3/KMS条件に使用。		10-organization	aws_organizations_organization.id		検討中	自動生成値	
11	01_全体設計	3	リージョン		ホームリージョン	ap-northeast-1	組織管理サービスの主リージョンを統一。		共通変数	variable.home_region		検討中	プロジェクト要件に合わせて変更	
12	01_全体設計	4	リージョン		許可リージョン	ap-northeast-1, ap-northeast-3	利用リージョンを限定しガバナンスを単純化。		10-organization	RestrictRegions SCP		検討中	Global Serviceの除外を別途定義	
13	01_全体設計	5	管理アカウント		用途	Organizations、Billing、組織レベル操作に限定	業務ワークロードによる侵害・変更影響を分離。		運用設計	Management Account運用ルール		確定		
14	01_全体設計	6	アカウント構成		専用アカウント	Security Tooling／Log Archive／Network／Shared Services	責任・権限・ログ保全を分離。		10-organization	aws_organizations_account		検討中		
15	01_全体設計	7	Terraform		State分割方針	Organization、Org Services、Account Baseline、Network、Workloadで分割	権限境界・変更周期・障害範囲を分離。		全Root Module	S3 backend key		確定		
16	01_全体設計	8	Terraform		Providerバージョン	required_providersで制約し、.terraform.lock.hclをGit管理	予期せぬProvider更新を防止。		全Root Module	terraform.required_providers		確定	具体バージョンは検証後決定	
17	01_全体設計	9	Terraform		実行認証	SSO/OIDCからTerraformExecutionRoleへAssumeRole	長期Access Keyを排除。		13_Terraform実行設計	provider.assume_role		検討中		
18	01_全体設計	10	保護		誤削除防止	Organization、Account、State Bucket、KMS等にprevent_destroy	高影響リソースの誤削除を防止。		各Root Module	lifecycle.prevent_destroy		確定		
19	01_全体設計	11	タグ		共通タグ	ManagedBy、System、Environment、Owner、CostCenter	運用・費用・責任者を識別。		Provider default_tags	provider.default_tags		検討中		
20	01_全体設計	12	命名		命名規則	<company>-<system>-<env>-<resource>-<region>	一意性と検索性を確保。		共通Module	locals / naming module		検討中		
21	02_OU設計	1		Security			セキュリティ・ログ関連専用アカウント					検討中		Terraform論理名：security / Parent：Root / OU ID（実績）：構築後記入 / 収容アカウント：security-tooling, log-archive / 適用SCP：Security-Baseline / 管理担当：Security Team / Terraformアドレス：aws_organizations_organizational_unit.security
22	02_OU設計	2		Infrastructure			ネットワーク・共通基盤					検討中		Terraform論理名：infrastructure / Parent：Root / OU ID（実績）：構築後記入 / 収容アカウント：network, shared-services / 適用SCP：Infrastructure-Baseline / 管理担当：Platform Team / Terraformアドレス：aws_organizations_organizational_unit.infrastructure
23	02_OU設計	3		Workloads			業務アカウントの親OU					検討中		Terraform論理名：workloads / Parent：Root / OU ID（実績）：構築後記入 / 収容アカウント：Prod/NonProd配下 / 適用SCP：Workload-Baseline / 管理担当：Platform Team / Terraformアドレス：aws_organizations_organizational_unit.workloads
24	02_OU設計	4		Prod			本番業務アカウント					検討中		Terraform論理名：prod / Parent：Workloads / OU ID（実績）：構築後記入 / 収容アカウント：system-*-prod / 適用SCP：Prod-Strict / 管理担当：Platform Team / Terraformアドレス：aws_organizations_organizational_unit.prod
25	02_OU設計	5		NonProd			開発・検証業務アカウント					検討中		Terraform論理名：nonprod / Parent：Workloads / OU ID（実績）：構築後記入 / 収容アカウント：system-*-dev/stg / 適用SCP：NonProd-Baseline / 管理担当：Platform Team / Terraformアドレス：aws_organizations_organizational_unit.nonprod
26	02_OU設計	6		Sandbox			個人・技術検証用					検討中	費用・サービス制限を強化	Terraform論理名：sandbox / Parent：Root / OU ID（実績）：構築後記入 / 収容アカウント：sandbox-* / 適用SCP：Sandbox-Limit / 管理担当：Platform Team / Terraformアドレス：aws_organizations_organizational_unit.sandbox
27	02_OU設計	7		Quarantine			新規アカウント初期隔離					確定	Baseline完了後に移動	Terraform論理名：quarantine / Parent：Root / OU ID（実績）：構築後記入 / 収容アカウント：作成直後のアカウント / 適用SCP：Quarantine-Deny / 管理担当：Platform Team / Terraformアドレス：aws_organizations_organizational_unit.quarantine
28	02_OU設計	8		Suspended			利用停止・廃止待ち					確定		Terraform論理名：suspended / Parent：Root / OU ID（実績）：構築後記入 / 収容アカウント：停止対象アカウント / 適用SCP：DenyAll / 管理担当：Platform Team / Terraformアドレス：aws_organizations_organizational_unit.suspended
29	03_アカウント設計	1		org-management				Root	Import/既存管理			検討中	業務リソースを配置しない	Account Key：management / Account ID（実績）：既存値を記入 / Root Email：aws-org@example.com / 種別：Management / 環境：Shared / Owner：Platform Team / Billing IAM Access：DENY / Bootstrap Role：- / prevent_destroy：true / close_on_deletion：-
30	03_アカウント設計	2		security-tooling				Security	Terraform			検討中		Account Key：security_tooling / Account ID（実績）：構築後記入 / Root Email：aws-security@example.com / 種別：Security / 環境：Shared / Owner：Security Team / Billing IAM Access：DENY / Bootstrap Role：OrganizationAccountAccessRole / prevent_destroy：true / close_on_deletion：false
31	03_アカウント設計	3		log-archive				Security	Terraform			検討中		Account Key：log_archive / Account ID（実績）：構築後記入 / Root Email：aws-log@example.com / 種別：Log Archive / 環境：Shared / Owner：Security Team / Billing IAM Access：DENY / Bootstrap Role：OrganizationAccountAccessRole / prevent_destroy：true / close_on_deletion：false
32	03_アカウント設計	4		network				Infrastructure	Terraform			検討中		Account Key：network / Account ID（実績）：構築後記入 / Root Email：aws-network@example.com / 種別：Network / 環境：Shared / Owner：Network Team / Billing IAM Access：DENY / Bootstrap Role：OrganizationAccountAccessRole / prevent_destroy：true / close_on_deletion：false
33	03_アカウント設計	5		shared-services				Infrastructure	Terraform			検討中		Account Key：shared_services / Account ID（実績）：構築後記入 / Root Email：aws-shared@example.com / 種別：Shared Services / 環境：Shared / Owner：Platform Team / Billing IAM Access：DENY / Bootstrap Role：OrganizationAccountAccessRole / prevent_destroy：true / close_on_deletion：false
34	03_アカウント設計	6		system-a-dev				NonProd	Terraform			検討中		Account Key：system_a_dev / Account ID（実績）：構築後記入 / Root Email：aws-system-a-dev@example.com / 種別：Workload / 環境：Dev / Owner：App Team A / Billing IAM Access：DENY / Bootstrap Role：OrganizationAccountAccessRole / prevent_destroy：true / close_on_deletion：false
35	03_アカウント設計	7		system-a-prod				Prod	Terraform			検討中		Account Key：system_a_prod / Account ID（実績）：構築後記入 / Root Email：aws-system-a-prod@example.com / 種別：Workload / 環境：Prod / Owner：App Team A / Billing IAM Access：DENY / Bootstrap Role：OrganizationAccountAccessRole / prevent_destroy：true / close_on_deletion：false
36	03_アカウント設計	8		sandbox-user01				Sandbox	Terraform			検討中	月額Budget必須	Account Key：sandbox_user01 / Account ID（実績）：構築後記入 / Root Email：aws-sandbox01@example.com / 種別：Sandbox / 環境：Sandbox / Owner：User01 / Billing IAM Access：DENY / Bootstrap Role：OrganizationAccountAccessRole / prevent_destroy：true / close_on_deletion：false
37	04_SCP設計	1		DenyLeaveOrganization			メンバーアカウントの離脱防止	Root		aws_organizations_policy + attachment	メンバー側から離脱不可	確定		Policy ID（実績）：構築後記入 / Target ID（実績）：Root ID / 主な制御Action／内容：organizations:LeaveOrganizationをDeny / 例外Principal：なし / 例外条件：なし / JSONファイル：policies/deny-leave-organization.json
38	04_SCP設計	2		DenyAccountClosure			アカウントの無断閉鎖防止	Root		aws_organizations_policy + attachment	一般管理者による閉鎖不可	検討中		Policy ID（実績）：構築後記入 / Target ID（実績）：Root ID / 主な制御Action／内容：account:CloseAccountをDeny / 例外Principal：承認済み管理ロール / 例外条件：aws:PrincipalArn / JSONファイル：policies/deny-account-closure.json
39	04_SCP設計	3		RestrictRegions			利用リージョン制限	Workloads		aws_organizations_policy + attachment	許可外RegionでEC2作成不可	検討中	NotAction設計をレビュー	Policy ID（実績）：構築後記入 / Target ID（実績）：OU ID / 主な制御Action／内容：許可外リージョンの操作をDeny / 例外Principal：OrganizationAdminRole / 例外条件：RequestedRegion、Global Service除外 / JSONファイル：policies/restrict-regions.json
40	04_SCP設計	4		ProtectSecurityServices			監査・検知サービス保護	Root		aws_organizations_policy + attachment	一般管理者による無効化不可	検討中		Policy ID（実績）：構築後記入 / Target ID（実績）：Root ID / 主な制御Action／内容：CloudTrail/Config/GuardDuty/SecurityHubの停止・削除をDeny / 例外Principal：SecurityAdminRole / 例外条件：aws:PrincipalArn / JSONファイル：policies/protect-security-services.json
41	04_SCP設計	5		DenyRootUsage			メンバーアカウントRootの常用防止	Workloads		aws_organizations_policy + attachment	Root操作時に拒否または警告	検討中	Root access集中管理との整合確認	Policy ID（実績）：構築後記入 / Target ID（実績）：OU ID / 主な制御Action／内容：Root Principalによる操作を制限 / 例外Principal：緊急復旧手順のみ / 例外条件：aws:PrincipalArn / JSONファイル：policies/deny-root-usage.json
42	04_SCP設計	6		DenyPublicS3			S3公開設定防止	Prod		aws_organizations_policy + attachment	本番S3公開不可	検討中		Policy ID（実績）：構築後記入 / Target ID（実績）：OU ID / 主な制御Action／内容：Public Access Block解除・公開Policy設定をDeny / 例外Principal：例外申請ロール / 例外条件：ResourceTag/PrincipalArn / JSONファイル：policies/deny-public-s3.json
